chr	start	end	strand	cytoband	Ensembl gene ID	hugo	copy category	copy change	avg cna	avg cna by gene	breakpoint	manually curated homd	loh	loh_ratio	intepreted expression status	RPKM	SARC percentile	SARC kIQR	FC mean Bodymap	avg TCGA percentile	avg TCGA kIQR	avg TCGA norm percentile	avg TCGA norm kIQR	UCEC norm percentile	UCEC norm kIQR	cancer gene type
6	46097701	46114435	1	p21.1	ENSG00000001561	ENPP4	Neutral	0	0.01	0.03	0	0	HET	0.47		2.63	63	0.24	-4.1	28	-0.4	14	-0.84	29	-0.3	
3	50192478	50226508	1	p21.31	ENSG00000001617	SEMA3F	Neutral	0	0.01	0.02	0	0	HET	0.38		16.94	83	0.92	2.65	56	0.12	75	0.58	88	0.69	
7	117105838	117308719	1	q31.2	ENSG00000001626	CFTR	Neutral	0	0.01	0.01	0	0	HET	0.52		0.05	89	4.4	-1.58	55	0.03	21	-0.13	12	-0.37	
7	91875548	92030698	1	q21.2	ENSG00000001629	ANKIB1	Neutral	0	0.01	0	0	0	HET	0.51		10.55	74	0.6	1.19	54	0.07	66	0.38	92	1.3	
7	91741465	91772266	-1	q21.2	ENSG00000001630	CYP51A1	Neutral	0	0.01	-0.01	0	0	HET	0.42		3.32	1	-0.97	-5.19	1	-0.99	0	-1.1	0	-1.51	
7	91828283	91875480	-1	q21.2	ENSG00000001631	KRIT1	Neutral	0	0.01	0.02	0	0	HET	0.4		4.77	50	-0.01	-1.33	32	-0.34	42	-0.15	17	-0.59	putative tumour suppressor
12	1021243	1100356	-1	p13.33	ENSG00000002016	RAD52	Neutral	0	0.01	0.01	0	0	HET	0.49		3.19	86	1.28	1.39	80	0.76	90	1.04	71	0.42	
11	64037302	64052176	-1	q13.1	ENSG00000002330	BAD	Neutral	0	0.02	0.03	0	0	HET	0.52		21.01	11	-0.7	1.93	29	-0.36	35	-0.3	8	-1.39	
4	17578815	17609595	1	p15.32	ENSG00000002549	LAP3	Neutral	0	0.01	0.03	0	0	HET	0.6		25.79	24	-0.36	-1.4	22	-0.43	14	-0.68	46	-0.14	
X	2609220	2659350	1	p22.33	ENSG00000002586	CD99	Neutral	0	0.02	0	0	0	HET	0.49		99.99	3	-0.94	1.58	51	0.01	63	0.27	8	-0.64	
4	11394774	11431389	-1	p15.33	ENSG00000002587	HS3ST1	Neutral	0	0.01	0.03	0	0	HET	0.52		1.01	27	-0.37	-1.08	16	-0.36	11	-0.51	0	-1.25	
7	150521715	150558592	1	q36.1	ENSG00000002726	AOC1	Neutral	0	0.01	0.02	0	0	HET	0.55		0.08	78	0.81	-3.74	32	-0.06	26	-0.02	42	-0.13	
7	120965421	120981158	1	q31.31	ENSG00000002745	WNT16	Neutral	0	0.01	0.01	0	0	HET	0.46		0.05	58	0.1	-1.15	57	0.12	61	0.21	58	0.09	
7	43152198	43602938	1	p14.1	ENSG00000002746	HECW1	Neutral	0	0.01	0.02	0	0	HET	0.49		0.09	64	0.41	-1.25	66	0.34	68	0.34	88	1.16	
7	1855383	2272878	-1	p22.3	ENSG00000002822	MAD1L1	Neutral	0	0.01	0.02	0	0	HET	0.49		3.22	2	-0.82	1.38	6	-0.81	21	-0.66	0	-1.61	putative tumour suppressor
17	37026112	37078023	1	q12	ENSG00000002834	LASP1	Neutral	0	0.02	0.01	0	0	HET	0.45		25.47	8	-0.84	-1.05	9	-0.87	18	-0.68	0	-1.21	oncogene
17	46180719	46200436	1	q21.32	ENSG00000002919	SNX11	Neutral	0	0.02	0	0	0	HET	0.53		8.76	31	-0.43	1.3	25	-0.45	25	-0.5	83	1.05	
7	150497491	150502208	1	q36.1	ENSG00000002933	TMEM176A	Neutral	0	0.01	0.03	0	0	HET	0.54		44.21	44	-0.07	1.51	62	0.22	55	0.06	88	1.43	
12	9092959	9102551	-1	p13.31	ENSG00000003056	M6PR	Neutral	0	0.01	-0.01	0	0	HET	0.59		21.08	1	-1.26	1.07	3	-1.27	6	-1.5	0	-3.33	
X	117031776	117251303	-1	q24	ENSG00000003096	KLHL13	Gain	1	0.25	0.24	0	0	HET	0.59		13.41	92	2.15	4.34	98	5.87	94	1.86	83	0.59	
2	72356367	72375167	-1	p13.2	ENSG00000003137	CYP26B1	Neutral	0	0.02	0.05	0	0	HET	0.58		2.12	50	-0.01	-2.38	76	0.74	56	0.11	71	0.56	
7	8152814	8302317	-1	p21.3	ENSG00000003147	ICA1	Neutral	0	0.01	0.02	0	0	HET	0.47		2.02	65	0.34	-1.74	22	-0.33	8	-0.98	4	-1.19	
16	90071273	90086536	-1	q24.3	ENSG00000003249	DBNDD1	Loss	-1	-0.21	-0.22	0	0	HET	0.57		0.2	24	-0.21	-1.81	2	-0.69	0	-0.87	0	-0.88	
2	202565277	202645912	-1	q33.1	ENSG00000003393	ALS2	Neutral	0	0.01	0.04	0	0	HET	0.43		2.75	78	0.61	-1.12	51	0.02	53	0.06	79	0.76	
2	202047604	202094129	1	q33.1	ENSG00000003400	CASP10	Neutral	0	0.01	0.01	0	0	HET	0.51		3.56	89	1.2	1.06	66	0.37	55	0.09	83	1.12	
2	201980827	202029033	1	q33.1	ENSG00000003402	CFLAR	Neutral	0	0.01	-0.01	0	0	HET	0.55		4.84	71	0.46	-2.06	42	-0.14	20	-0.55	83	0.9	
2	188328957	188430487	-1	q32.1	ENSG00000003436	TFPI	Neutral	0	0.01	0.02	0	0	HET	0.49		3.31	31	-0.24	-3.72	46	-0.04	11	-0.48	4	-0.74	
2	37458774	37480546	1	p22.2	ENSG00000003509	NDUFAF7	Loss	-1	-0.22	-0.21	0	0	HET	0.38		3.85	15	-0.59	-1.31	8	-0.83	20	-0.54	0	-1.25	
3	50126341	50156454	1	p21.31	ENSG00000003756	RBM5	Neutral	0	0.01	0.02	0	0	HET	0.38		18.18	69	0.35	1.71	68	0.38	73	0.52	17	-0.61	tumour suppressor
15	67493371	67547533	-1	q23	ENSG00000103591	AAGAB	Loss	-1	-0.22	-0.24	0	0	HET	0.71	down	5.83	0	-1.07	-1.87	2	-1.15	8	-1.09	0	-1.22	
8	17354597	17428082	1	p22	ENSG00000003989	SLC7A2	Neutral	0	0.02	0.02	0	0	HET	0.54		7.33	83	1.35	-2.55	72	0.6	55	0.1	54	0.01	
7	127228399	127231759	1	q32.1	ENSG00000004059	ARF5	Neutral	0	0.01	0.05	0	0	HET	0.5		57.95	8	-0.75	1.93	14	-0.61	28	-0.32	0	-0.65	
17	26691378	26728065	1	q11.2	ENSG00000004139	SARM1	Neutral	0	0.02	0.07	0	0	HET	0.49		10.92	90	1.41	2.85	93	1.85	100	3.24	100	4.08	
3	129274018	129325661	-1	q22.1	ENSG00000004399	PLXND1	Neutral	0	0.01	0.06	0	0	HET	0.38		27.02	36	-0.19	2.62	77	0.71	80	0.92	46	-0.08	
1	33473585	33546597	-1	p35.1	ENSG00000004455	AK2	Neutral	0	0.02	0.03	0	0	HET	0.47		10.57	6	-0.9	-1.29	4	-1.11	3	-1.39	0	-2.95	
4	15779898	15851069	1	p15.32	ENSG00000004468	CD38	Neutral	0	0.01	0.02	0	0	HET	0.47		0.93	70	0.52	-1.46	49	-0.02	57	0.11	88	2.15	
12	2904119	2914576	1	p13.33	ENSG00000004478	FKBP4	Neutral	0	0.01	0.01	0	0	HET	0.49		20.96	32	-0.32	-2.03	10	-0.52	28	-0.53	8	-0.74	
1	23345941	23410182	1	p36.12	ENSG00000004487	KDM1A	Loss	-1	-0.21	-0.22	0	0	HET	0.33		13.4	3	-0.72	-1.59	7	-0.82	14	-0.77	0	-1.96	
3	49977440	50137478	1	p21.31	ENSG00000004534	RBM6	Neutral	0	0.01	0	0	0	HET	0.38		13.47	44	-0.15	-1.06	47	-0.05	55	0.1	12	-0.78	putative tumour suppressor
17	3763609	3798185	-1	p13.2	ENSG00000004660	CAMKK1	Neutral	0	0.02	0.04	0	0	HET	0.46		3.86	61	0.19	1.45	71	0.49	84	0.91	38	-0.32	
12	21621845	21654603	-1	p12.1	ENSG00000004700	RECQL	Neutral	0	0.01	0.02	0	0	HET	0.54		13.84	35	-0.28	-1.23	66	0.33	86	0.93	79	0.74	
7	92861653	92988338	1	q21.3	ENSG00000004766	CCDC132	Neutral	0	0.01	0.03	0	0	HET	0.53		3.31	27	-0.46	-1.2	15	-0.68	14	-0.87	4	-1.24	
19	36245469	36248980	-1	q13.12	ENSG00000004776	HSPB6	Neutral	0	0.02	0.09	0	0	HET	0.55		356.36	72	0.57	1.89	98	17.34	89	2.79	79	1.15	
19	36265434	36279724	1	q13.12	ENSG00000004777	ARHGAP33	Neutral	0	0.02	0.01	0	0	HET	0.55		2.56	33	-0.35	1.82	56	0.1	88	1.27	54	0.17	
16	23592323	23607677	-1	p12.2	ENSG00000004779	NDUFAB1	Neutral	0	0.02	0.02	0	0	HET	0.45		34.36	3	-0.88	-1.21	4	-0.97	3	-0.66	0	-1	
7	95212811	95225803	-1	q21.3	ENSG00000004799	PDK4	Neutral	0	0.01	-0.02	0	0	HET	0.58		13.06	52	0.02	-22.72	66	0.37	9	-0.54	21	-0.5	
3	183903811	183911800	1	q27.1	ENSG00000161204	ABCF3	Neutral	0	0.01	0.04	0	0	HET	0.64	down	6.79	0	-1.29	-1.16	2	-1.6	1	-1.44	0	-1.82	
3	50378541	50384283	-1	p21.31	ENSG00000004838	ZMYND10	Neutral	0	0.01	0.13	0	0	HET	0.38		0.29	20	-0.24	-3.36	32	-0.17	36	-0.29	17	-0.42	putative tumour suppressor
7	20654830	20816658	1	p21.1	ENSG00000004846	ABCB5	Neutral	0	0.01	0.03	0	0	HET	0.49		0.19	62	0.18	-1.02	92	7.69	84	2.42	96	5.13	
X	25021811	25034065	-1	p21.3	ENSG00000004848	ARX	Neutral	0	0.02	0.01	0	0	HET	0.5		0.01	21	-0.23	-4.02	11	-0.11	10	-0.24	23	-0.31	
7	95749532	95951459	-1	q21.3	ENSG00000004864	SLC25A13	Neutral	0	0.01	0	0	0	HET	0.52		3.61	16	-0.63	-1.92	3	-0.87	5	-0.59	12	-1.01	
7	116593292	116870157	1	q31.2	ENSG00000004866	ST7	Neutral	0	0.01	0	0	0	HET	0.48		4.02	13	-0.65	1.01	9	-0.82	10	-0.71	4	-1.68	putative tumour suppressor
17	45195069	45266788	-1	q21.32	ENSG00000004897	CDC27	Neutral	0	0.02	0.01	0	0	HET	0.57		10.7	33	-0.27	-1.1	44	-0.1	60	0.17	46	-0.08	putative tumour suppressor
17	42325753	42345509	-1	q21.31	ENSG00000004939	SLC4A1	Neutral	0	0.02	0.01	0	0	HET	0.49		0.01	53	0.04	-3.7	56	0.11	30	-0.1	42	-0.3	
7	93053799	93204042	-1	q21.3	ENSG00000004948	CALCR	Neutral	0	0.01	0.02	0	0	HET	0.52		0.2	88	1.67	1.01	91	3	77	1.01	100	12.38	
X	11129421	11141198	1	p22.2	ENSG00000004961	HCCS	Neutral	0	0.02	0.04	0	0	HET	0.42		11.07	66	0.29	-1.09	64	0.31	71	0.55	100	4.06	
17	7128660	7137864	-1	p13.1	ENSG00000004975	DVL2	Neutral	0	0.02	0.05	0	0	HET	0.49		8.09	10	-0.57	1.7	31	-0.31	49	-0.01	0	-2.52	
16	2902728	2908631	-1	p13.3	ENSG00000005001	PRSS22	Neutral	0	0.02	0.02	0	0	HET	0.43		0.01	51	0.24	-1.36	19	-0.33	2	-0.63	0	-0.69	
19	18942744	18979038	1	p13.11	ENSG00000005007	UPF1	Neutral	0	0.01	0.08	0	0	HET	0.49		18.64	33	-0.33	1.11	30	-0.36	41	-0.18	42	-0.26	
7	26706681	27034858	-1	p15.2	ENSG00000005020	SKAP2	Neutral	0	0.01	0.01	0	0	HET	0.48		4.41	22	-0.45	-2.72	23	-0.41	19	-0.75	50	-0.04	
X	118602363	118605282	1	q24	ENSG00000005022	SLC25A5	Gain	1	0.25	0.3	0	0	HET	0.59		123.44	34	-0.3	1.08	15	-0.52	19	-0.25	75	0.51	
4	110481361	110609874	1	q25	ENSG00000005059	CCDC109B	Neutral	0	0.01	-0.01	0	0	HET	0.52		4.3	11	-0.75	-1.34	31	-0.34	50	0.01	8	-0.91	
7	27221129	27224842	-1	p15.2	ENSG00000005073	HOXA11	Neutral	0	0.01	0.11	0	0	HET	0.51		41.95	97	5.87	16.7	100	22.94	98	17.84	33	-0.1	oncogene
7	102113565	102119354	-1	q22.1	ENSG00000005075	POLR2J	Neutral	0	0.01	0.1	0	0	HET	0.56		21.13	1	-1.13	1.5	2	-0.96	2	-0.89	0	-1.64	
17	5344232	5372380	-1	p13.2	ENSG00000005100	DHX33	Neutral	0	0.02	0.09	0	0	HET	0.48		3.05	64	0.29	-1.17	44	-0.1	61	0.22	83	0.86	
17	41717756	41739322	-1	q21.31	ENSG00000005102	MEOX1	Neutral	0	0.02	-0.01	0	0	HET	0.46		5.73	83	1.41	1.21	95	4.05	82	1.44	67	0.16	
7	11414170	11871824	-1	p21.3	ENSG00000005108	THSD7A	Neutral	0	0.01	0.01	0	0	HET	0.5		0.87	78	0.83	-1.32	76	0.81	57	0.12	58	0.27	
17	33307513	33332083	1	q12	ENSG00000005156	LIG3	Neutral	0	0.02	0.02	0	0	HET	0.45		3.89	21	-0.42	1.29	13	-0.55	22	-0.47	0	-1.86	
12	48057070	48099844	-1	q13.11	ENSG00000005175	RPAP3	Neutral	0	0.01	0.01	0	0	HET	0.53		7.41	59	0.14	-1.3	50	0.01	77	0.61	71	0.28	
16	20621565	20808903	1	p12.3	ENSG00000005187	ACSM3	Neutral	0	0.02	0.03	0	0	HET	0.5		1.23	44	-0.08	-1.84	35	-0.11	7	-0.33	0	-1.22	
2	264140	278283	1	p25.3	ENSG00000143727	ACP1	Neutral	0	0.02	0.06	0	0	HET	0.53	down	10.27	3	-1.14	-1.69	1	-1.42	0	-1.42	0	-2.71	
9	35104109	35115999	-1	p13.3	ENSG00000005238	FAM214B	Neutral	0	0.01	0.06	0	0	HET	0.54		4	35	-0.24	1.39	45	-0.09	54	0.09	88	1.96	
17	46103533	46115392	-1	q21.32	ENSG00000005243	COPZ2	Neutral	0	0.02	0	0	0	HET	0.45		21.3	17	-0.67	1.77	81	0.86	82	1	54	0.32	
7	106685094	106802256	1	q22.3	ENSG00000005249	PRKAR2B	Neutral	0	0.01	0	0	0	HET	0.47		18.87	94	4.53	-1.55	94	2.79	85	1.51	96	2.41	
X	11776278	11793870	1	p22.2	ENSG00000005302	MSL3	Neutral	0	0.02	0.06	0	0	HET	0.44		5.32	44	-0.12	-1.12	54	0.08	78	0.65	67	0.6	
16	3775055	3930727	-1	p13.3	ENSG00000005339	CREBBP	Neutral	0	0.02	-0.01	0	0	HET	0.5		12.21	62	0.2	1.31	57	0.14	60	0.18	25	-0.57	oncogene; tumour suppressor
17	56378592	56406152	-1	q22	ENSG00000005379	BZRAP1	Neutral	0	0.02	0.02	0	0	HET	0.47		5.04	72	0.68	2.58	88	1.51	94	1.54	62	0.19	
17	56347217	56358296	-1	q22	ENSG00000005381	MPO	Neutral	0	0.02	0.03	0	0	HET	0.47		0.04	31	-0.22	-3.23	40	-0.14	26	-0.26	29	-0.48	
7	94926988	95025673	-1	q21.3	ENSG00000005421	PON1	Neutral	0	0.01	0.01	0	0	HET	0.49		0.03	62	0.29	-10.15	53	0.03	39	-0.15	50	0.03	
2	75879126	75938115	-1	p12	ENSG00000005436	GCFC2	Neutral	0	0.02	0.06	0	0	HET	0.45		2.35	11	-0.69	-1.96	4	-1.02	3	-0.84	0	-2.27	
2	74648805	74652882	1	p13.1	ENSG00000005448	WDR54	Neutral	0	0.02	0.05	0	0	HET	0.5		2.48	1	-0.97	-1.15	4	-0.74	14	-0.71	0	-2.21	
7	86974997	87029111	1	q21.12	ENSG00000005469	CROT	Neutral	0	0.01	-0.01	0	0	HET	0.47		3.57	58	0.13	-1.21	37	-0.18	20	-0.52	29	-0.47	
7	87031013	87109751	-1	q21.12	ENSG00000005471	ABCB4	Neutral	0	0.01	-0.01	0	0	HET	0.47		0.28	42	-0.11	-2.18	56	0.12	62	0.28	75	0.69	
7	104654626	104754808	1	q22.3	ENSG00000005483	KMT2E	Neutral	0	0.01	0	0	0	HET	0.51		18.72	96	1.73	1.18	86	0.96	88	0.95	83	0.88	
7	75471920	75518244	1	q11.23	ENSG00000005486	RHBDD2	Neutral	0	0.01	0.01	0	0	HET	0.56		23.13	27	-0.48	1.05	5	-0.76	6	-0.72	8	-0.94	
16	1031808	1036979	1	p13.3	ENSG00000005513	SOX8	Neutral	0	0.02	0.05	0	0	HET	0.66		0.2	49	-0.01	-2.17	42	-0.08	35	-0.19	8	-1.06	
6	82879700	82957471	-1	q14.1	ENSG00000005700	IBTK	Neutral	0	0.01	0.03	0	0	HET	0.45		7.39	71	0.47	-1.23	47	-0.06	26	-0.45	54	0.05	
11	3360491	3400448	-1	p15.4	ENSG00000005801	ZNF195	Neutral	0	0.02	0.02	0	0	HET	0.38		4.47	82	1.02	1.34	28	-0.38	47	-0.05	33	-0.5	
13	77618792	77901185	-1	q22.3	ENSG00000005810	MYCBP2	Neutral	0	0.01	0.02	0	0	HET	0.5		5.84	91	1.47	-1.6	74	0.53	62	0.2	79	0.88	
13	77566740	77601330	-1	q22.3	ENSG00000005812	FBXL3	Neutral	0	0.01	0.03	0	0	HET	0.54		13.11	54	0.08	-1.78	40	-0.18	14	-0.76	4	-1	
16	30483979	30534289	1	p11.2	ENSG00000005844	ITGAL	Neutral	0	0.02	0	0	0	HET	0.47		3.58	72	0.48	-2.34	57	0.14	61	0.21	88	2.31	
17	48172101	48189516	1	q21.33	ENSG00000005882	PDK2	Neutral	0	0.02	0.06	0	0	HET	0.55		14.68	45	-0.08	1.53	40	-0.18	14	-0.59	12	-0.61	
17	48133332	48167845	1	q21.33	ENSG00000005884	ITGA3	Neutral	0	0.02	0.01	0	0	HET	0.51		10.62	65	0.34	1.66	26	-0.28	13	-0.75	12	-0.85	
X	24167290	24234372	1	p22.11	ENSG00000005889	ZFX	Neutral	0	0.02	0.01	0	0	HET	0.53		7.4	78	0.59	-1.12	83	0.91	75	0.62	62	0.44	
X	119561682	119603220	-1	q24	ENSG00000005893	LAMP2	Gain	1	0.25	0.24	0	0	HET	0.49		29.24	73	0.57	-1.49	62	0.24	71	0.47	100	1.73	
17	34900737	34946278	1	q12	ENSG00000005955	GGNBP2	Neutral	0	0.02	0.01	0	0	HET	0.63		5.25			-2.07							putative tumour suppressor
17	42449548	42466873	-1	q21.31	ENSG00000005961	ITGA2B	Neutral	0	0.02	0.05	0	0	HET	0.49		0.38	82	1.12	-1.61	80	1.12	82	1.41	38	-0.24	
7	95107756	95169544	1	q21.3	ENSG00000005981	ASB4	Neutral	0	0.01	0.01	0	0	HET	0.49		0	63	0.33	-1.72	39	-0.16	16	-0.48	54	0.17	
16	19513015	19533467	-1	p12.3	ENSG00000006007	GDE1	Neutral	0	0.02	0.05	0	0	HET	0.48		19.15	18	-0.57	-1.09	16	-0.63	11	-0.96	38	-0.36	
2	114647537	114720173	1	q14.1	ENSG00000115091	ACTR3	Neutral	0	0.02	0	0	0	HET	0.54	down	19.98	1	-1.15	-1.1	3	-1.02	6	-1.24	0	-1.59	
19	18704037	18717660	-1	p13.11	ENSG00000006016	CRLF1	Neutral	0	0.01	0.06	0	0	HET	0.45		1.56	62	0.25	-1.77	60	0.18	59	0.17	71	0.4	
17	45884738	45899200	-1	q21.32	ENSG00000006025	OSBPL7	Neutral	0	0.02	0.07	0	0	HET	0.49		2.29	47	-0.1	1.61	40	-0.18	50	0.01	12	-0.79	
17	31254928	31272124	1	q11.2	ENSG00000006042	TMEM98	Neutral	0	0.02	0.03	0	0	HET	0.54		14.06	33	-0.31	2.2	28	-0.35	22	-0.66	0	-1.71	
17	7191571	7197934	-1	p13.1	ENSG00000006047	YBX2	Neutral	0	0.02	0.03	0	0	HET	0.52		1.78	83	2.44	-2.08	66	0.37	78	0.79	79	0.85	
17	39502344	39507064	-1	q21.2	ENSG00000006059	KRT33A	Neutral	0	0.02	0.01	0	0	HET	0.5		0	42		-1.02	35	0	39		50		
17	43340488	43394414	-1	q21.31	ENSG00000006062	MAP3K14	Neutral	0	0.02	-0.01	0	0	HET	0.42		3.86	22	-0.43	-1.17	46	-0.07	38	-0.24	29	-0.41	
11	17414432	17498449	-1	p15.1	ENSG00000006071	ABCC8	Neutral	0	0.02	0.02	0	0	HET	0.52		0.11	64	0.23	-1.21	66	0.23	53	0.02	33	-0.15	
17	34391640	34399392	1	q12	ENSG00000006074	CCL18	Neutral	0	0.02	-0.01	0	0	HET	0.46		44.82			3.95							
17	34415602	34417515	-1	q12	ENSG00000006075	CCL3	Neutral	0	0.02	0.04	0	0	HET	0.49		5.03			1.65							
17	35874900	35969544	-1	q12	ENSG00000006114	SYNRG	Neutral	0	0.02	0.02	0	0	HET	0.53		3.61			-1.25							
16	24266874	24374122	1	p12.1	ENSG00000006116	CACNG3	Neutral	0	0.02	0.01	0	0	HET	0.52		0.01	41		-1.95	35	0	44		50		
11	60691935	60704631	1	q12.2	ENSG00000006118	TMEM132A	Neutral	0	0.02	0.06	0	0	HET	0.52		13.17	71	0.48	5.64	63	0.28	97	4.06	79	1	
17	33905065	34053436	1	q12	ENSG00000006125	AP2B1	Neutral	0	0.02	0.02	0	0	HET	0.48		30.51	44	-0.1	-1.13	23	-0.47	21	-0.59	29	-0.69	
7	97361220	97369784	1	q21.3	ENSG00000006128	TAC1	Neutral	0	0.01	0.04	0	0	HET	0.52		0	26	0	-2.08	23	-0.08	7	-0.24	2	-0.39	
16	3313743	3351401	1	p13.3	ENSG00000006194	ZNF263	Neutral	0	0.02	0.02	0	0	HET	0.52		4.23	10	-0.75	1.01	13	-0.74	28	-0.4	0	-2.05	
16	57406370	57418960	1	q21	ENSG00000006210	CX3CL1	Loss	-1	-0.21	-0.23	0	0	HET	0.62		5.46	29	-0.2	-2.17	24	-0.31	8	-0.57	8	-0.9	
17	48620419	48633213	1	q21.33	ENSG00000006282	SPATA20	Neutral	0	0.02	0.05	0	0	HET	0.43		13.77	53	0.06	1.94	43	-0.13	49	-0.03	12	-0.83	
17	48638429	48704835	1	q21.33	ENSG00000006283	CACNA1G	Neutral	0	0.02	0.04	0	0	HET	0.56		2.57	83	1.79	2.69	96	16.05	98	22.79	75	0.6	
16	3068446	3072384	1	p13.3	ENSG00000006327	TNFRSF12A	Neutral	0	0.02	0.09	0	0	HET	0.43		21.61	39	-0.18	3.85	29	-0.31	44	-0.09	62	0.25	
7	96634860	96640351	1	q21.3	ENSG00000006377	DLX6	Neutral	0	0.01	0.05	0	0	HET	0.46		0.1	42	-0.04	-1.09	48	-0.02	78	0.76	4	-0.33	
14	71189243	71276251	-1	q24.2	ENSG00000006432	MAP3K9	Neutral	0	0.02	0.03	0	0	HET	0.48		0.19	64	0.36	-1.83	14	-0.5	15	-0.74	67	0.22	
7	39663082	39747723	1	p14.1	ENSG00000006451	RALA	Neutral	0	0.01	0	0	0	HET	0.45		16.02	13	-0.55	-1.18	22	-0.54	40	-0.22	4	-0.59	
7	97920963	98030380	-1	q22.1	ENSG00000006453	BAIAP2L1	Neutral	0	0.01	0.02	0	0	HET	0.45		1.68	56	0.13	-1.5	16	-0.63	4	-1.12	12	-0.54	
7	139784546	139876835	-1	q34	ENSG00000006459	KDM7A	Neutral	0	0.01	0.01	0	0	HET	0.48		3.04	78	0.78	-2.23	47	-0.04	35	-0.23	42	-0.16	
7	13930853	14031050	-1	p21.2	ENSG00000006468	ETV1	Neutral	0	0.01	0	0	0	HET	0.48		0.79	20	-0.27	-1.96	32	-0.18	24	-0.23	29	-0.45	oncogene
7	141250989	141355044	1	q34	ENSG00000006530	AGK	Neutral	0	0.01	0.01	0	0	HET	0.49		4.77	19	-0.61	1.2	8	-0.9	17	-0.57	0	-1.3	
11	67776048	67796744	1	q13.2	ENSG00000006534	ALDH3B1	Neutral	0	0.02	0.04	0	0	HET	0.61		3.04	37	-0.23	1.21	52	0.03	55	0.09	71	0.6	
1	55245385	55266940	-1	p32.3	ENSG00000006555	TTC22	Neutral	0	0.02	0.04	0	0	HET	0.5		0.06	82	1.19	-1.53	19	-0.44	5	-0.71	17	-0.36	
7	77428122	77586818	1	q11.23	ENSG00000006576	PHTF2	Neutral	0	0.01	0.01	0	0	HET	0.48		5.76	53	0.05	1.05	80	0.78	98	2.31	100	2.49	
7	75398851	75419214	-1	q11.23	ENSG00000006606	CCL26	Neutral	0	0.01	0.01	0	0	HET	0.58		0.8	47	-0.05	1.18	74	0.69	87	1.51	67	0.44	
2	242295658	242434256	1	q37.3	ENSG00000006607	FARP2	Neutral	0	0.01	0.01	0	0	HET	0.52		2.09	46	-0.08	1.11	21	-0.47	5	-1.01	0	-1.46	
11	17515442	17565963	-1	p15.1	ENSG00000006611	USH1C	Neutral	0	0.02	0.05	0	0	HET	0.51		0.22	88	5	-2.07	62	0.05	56	0.02	83	1.4	
